Comune,Provincia,Regione,Nome,Tipo,Anno inserimento,Identificatore in OpenStreetMap,Longitudine,Latitudine
Abano Terme,PADOVA,Veneto,Cristoforo Colombo,Monumento,2011,1535382684,11.7867885,45.3482471
Abbadia Lariana,LECCO,Lombardia,Monumento all'Alpino,"Monumento commemorativo, sacrario",2015,3326001705,9.3960522,45.9102
Abbiategrasso,MILANO,Lombardia,Castello,Monumento,2009,598558462,8.9192179,45.3984929
Abbiategrasso,MILANO,Lombardia,Ponte Medievale,Monumento,2009,598558463,8.9199045,45.3979354
Acate,RAGUSA,Sicilia,Arco di San Giuseppe,Monumento,2013,2431640930,14.4933049,37.0266167999999
Acate,RAGUSA,Sicilia,Monumento ai Caduti,Monumento,2013,2432622127,14.4937704,37.0264919999999
Aci Castello,CATANIA,Sicilia,Padre Pio,Monumento,2013,2411541622,15.1630479,37.5654114
Aci Castello,CATANIA,Sicilia,San Mauro,"Monumento commemorativo, sacrario",2014,2412315848,15.1483332,37.5565772
Acireale,CATANIA,Sicilia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2013,2386803037,15.1663199,37.6165414
Acqualagna,PESARO E URBINO,Marche,Monumento ai Caduti,Monumento,2015,3748086326,12.6705109,43.6169459999999
Acquapendente,VITERBO,Lazio,Piazza Girolamo Fabrizio,Monumento,2012,1732840992,11.8649936,42.7439682999999
Acquaviva delle Fonti,BARI,Puglia,Ex Sito Jupiter ACQUAVIVA,Monumento,2013,2234017208,16.8089523999999,40.9230305
Acquaviva delle Fonti,BARI,Puglia,stele sergente romano,Monumento,2014,3149002630,16.8019226999999,40.7563918999999
Acri,COSENZA,Calabria,Statua di Giovanni Battista Falcone di Acri,Monumento,2014,2715663888,16.3810243,39.4870153
Adrano,CATANIA,Sicilia,Monumento ai Caduti,Monumento,2009,469525297,14.83675,37.6609637999999
Adrano,CATANIA,Sicilia,Padre Pio,"Monumento commemorativo, sacrario",2015,2375596317,14.8269459,37.6651318999999
Agliano,ASTI,Piemonte,Monumento ai Caduti,"Monumento commemorativo, sacrario",2015,3330109789,8.24942839999999,44.7913672
Aglie',TORINO,Piemonte,Aglié ai Suoi Caduti,"Monumento commemorativo, sacrario",2014,2909468471,7.7694142,45.3621314999999
Aglie',TORINO,Piemonte,Aglié ai Suoi Caduti,"Monumento commemorativo, sacrario",2014,2909468472,7.768741,45.3633327
Aglie',TORINO,Piemonte,Broglio Giovanni,"Monumento commemorativo, sacrario",2014,2909468494,7.7682588,45.3633823999999
